iter	RMSE
0	2.716357646
1	2.711884787
2	2.707650308
3	2.704284036
4	2.70021631
5	2.697051637
6	2.693812394
7	2.690675279
8	2.687290324
9	2.684025715
10	2.680827947
11	2.678190259
12	2.675794413
13	2.673083721
14	2.670725151
15	2.668116717
16	2.665758303
17	2.663470631
18	2.661353898
19	2.658907159
20	2.656605607
21	2.654801946
22	2.652987187
23	2.651374697
24	2.649764285
25	2.647808082
26	2.646531169
27	2.644797063
28	2.643328866
29	2.641763351
30	2.640118097
31	2.638542646
32	2.637181172
33	2.635812312
34	2.6342284
35	2.632426619
36	2.630896924
37	2.629877263
38	2.628681967
39	2.627141103
40	2.625740135
41	2.624560303
42	2.623602909
43	2.622355524
44	2.621905119
45	2.62046649
46	2.619385575
47	2.618451546
48	2.617347491
49	2.616017672
50	2.614939661
51	2.614292132
52	2.613838539
53	2.613105587
54	2.612372302
55	2.611638095
56	2.610989848
57	2.610029565
58	2.609346883
59	2.608199957
60	2.607533085
61	2.607106939
62	2.606383303
63	2.605581881
64	2.604908073
65	2.604356988
66	2.603877072
67	2.603003903
68	2.602339139
69	2.601461765
70	2.601000877
71	2.600366424
72	2.599312301
73	2.598595215
74	2.598069002
75	2.597166095
76	2.596527021
77	2.596161376
78	2.595408502
79	2.595070067
80	2.594531944
81	2.59398314
82	2.593596188
83	2.592656077
84	2.592283324
85	2.591911043
86	2.591243115
87	2.590443633
88	2.590118973
89	2.58957395
90	2.58933847
91	2.589037886
92	2.588344641
93	2.587753998
94	2.587167995
95	2.586764299
96	2.58633037
97	2.585575779
98	2.585303828
99	2.584917174
100	2.584719474
101	2.584115153
102	2.583464115
103	2.582750343
104	2.58219731
105	2.581925055
106	2.581412043
107	2.580823739
108	2.58052315
109	2.580042515
110	2.579565481
111	2.57909468
112	2.578516495
113	2.577936186
114	2.577608578
115	2.577142549
116	2.576820325
117	2.576238962
118	2.575941721
119	2.575617343
120	2.575119351
121	2.574866943
122	2.574671484
123	2.574387945
124	2.573763761
125	2.573300554
126	2.572953128
127	2.572583623
128	2.572413998
129	2.571844756
130	2.571464761
131	2.570953937
132	2.570514684
133	2.570044456
134	2.569623147
135	2.569055796
136	2.568853154
137	2.568587374
138	2.567972115
139	2.567789712
140	2.567705822
141	2.567286235
142	2.566673899
143	2.566366953
144	2.566155279
145	2.565913878
146	2.565542471
147	2.565101596
148	2.564760524
149	2.564331155
150	2.563867952
151	2.563697002
152	2.563395491
153	2.562989907
154	2.56297405
155	2.562801395
156	2.562393475
157	2.56197996
158	2.561546607
159	2.561265867
160	2.560832376
161	2.560808554
162	2.560676251
163	2.560245904
164	2.560000763
165	2.55970087
166	2.559470575
167	2.559208597
168	2.558984878
169	2.558735378
170	2.558468474
171	2.557905501
172	2.557682059
173	2.557508695
174	2.557187377
175	2.557041297
176	2.556713507
177	2.556398436
178	2.556054805
179	2.555607453
180	2.555121388
181	2.554924535
182	2.554600038
183	2.554340971
184	2.554151476
185	2.553533196
186	2.553390118
187	2.553314894
188	2.553190883
189	2.553043541
190	2.552836662
191	2.552478535
192	2.552334187
193	2.551886753
194	2.551589919
195	2.550958596
196	2.550843031
197	2.5507608
198	2.55055454
199	2.55031144
200	2.549975628
201	2.549619506
202	2.549392339
203	2.549293624
204	2.548973539
205	2.54848514
206	2.548098542
207	2.547716838
208	2.547551829
209	2.547402056
210	2.547240735
211	2.547020012
212	2.546773303
213	2.54658952
214	2.546463605
215	2.546332365
216	2.545729475
217	2.545300651
218	2.544943792
219	2.544765452
220	2.544451365
221	2.544268084
222	2.544108733
223	2.543807301
224	2.543624931
225	2.543231104
226	2.542883894
227	2.542686944
228	2.542492767
229	2.542024284
230	2.541852819
231	2.541568624
232	2.541168899
233	2.541066163
234	2.541010978
235	2.540829405
236	2.540313071
237	2.540148777
238	2.540046979
239	2.539827023
240	2.539726011
241	2.539105687
242	2.538958365
243	2.538790035
244	2.538646725
245	2.538409316
246	2.53822301
