iter	Passed	Remaining
0	7	14216
1	12	12864
2	19	12806
3	25	12599
4	31	12423
5	37	12550
6	43	12414
7	49	12302
8	57	12651
9	63	12606
10	70	12793
11	78	12947
12	84	12967
13	91	12941
14	97	12885
15	104	12934
16	110	12903
17	117	12902
18	123	12904
19	129	12866
20	136	12902
21	143	12877
22	150	12935
23	156	12904
24	163	12877
25	170	12961
26	177	12942
27	184	13001
28	191	13004
29	197	12984
30	203	12954
31	210	12925
32	217	12972
33	223	12942
34	230	12930
35	236	12905
36	242	12877
37	250	12911
38	256	12887
39	262	12880
40	270	12923
41	276	12901
42	284	12938
43	290	12929
44	297	12938
45	304	12933
46	311	12929
47	317	12917
48	324	12904
49	332	12961
50	339	12969
51	346	12985
52	353	12980
53	360	12986
54	366	12973
55	372	12945
56	380	12963
57	387	12959
58	393	12955
59	400	12942
60	406	12921
61	413	12933
62	419	12909
63	426	12897
64	432	12889
65	438	12862
66	445	12865
67	452	12843
68	458	12840
69	465	12823
70	471	12817
71	480	12859
72	486	12855
73	494	12872
74	500	12853
75	507	12842
76	513	12831
77	519	12808
78	526	12806
79	532	12787
80	539	12779
81	545	12766
82	552	12749
83	559	12769
84	566	12753
85	573	12754
86	579	12745
87	586	12733
88	590	12688
89	597	12687
90	604	12675
91	610	12664
92	616	12651
93	624	12653
94	630	12641
95	637	12636
96	643	12625
97	649	12614
98	657	12619
99	663	12608
100	670	12599
101	676	12593
102	683	12581
103	691	12609
104	698	12597
105	705	12601
106	711	12594
107	718	12595
108	725	12589
109	732	12577
110	739	12586
111	746	12577
112	753	12582
113	759	12569
114	766	12557
115	772	12553
116	779	12541
117	786	12545
118	793	12534
119	799	12525
120	807	12541
121	813	12529
122	821	12531
123	827	12516
124	834	12524
125	842	12523
126	848	12511
127	855	12504
128	860	12487
129	868	12492
130	874	12480
131	881	12470
132	888	12476
133	895	12466
134	903	12480
135	910	12475
136	917	12478
137	923	12466
138	930	12461
139	937	12450
140	943	12435
